,stand_alone_voltage_pp
0,(136593.36599999998+0j)
1,(131674.79970209094+0j)
2,(131674.79970209094+0j)
3,(131674.79970209094+0j)
4,(131674.79970209094+0j)
5,(131674.79970209094+0j)
6,(131670.29669355735+0j)
7,(131670.29669355735+0j)
8,(131670.29669355735+0j)
9,(131670.29669355735+0j)
10,(131670.29669355735+0j)
11,(131668.6757668563+0j)
12,(131668.6757668563+0j)
13,(131668.6757668563+0j)
14,(131668.6757668563+0j)
15,(131668.6757668563+0j)
16,(131656.080838828+0j)
17,(131656.080838828+0j)
18,(131656.080838828+0j)
19,(131656.080838828+0j)
20,(131656.080838828+0j)
21,(131659.61916582595+0j)
22,(131659.61916582595+0j)
23,(131659.61916582595+0j)
24,(131659.61916582595+0j)
25,(131659.61916582595+0j)
26,(131650.57260383488+0j)
27,(131650.57260383488+0j)
28,(131650.57260383488+0j)
29,(131650.57260383488+0j)
30,(131650.57260383488+0j)
31,(131641.58597041832+0j)
32,(131641.58597041832+0j)
33,(131641.58597041832+0j)
34,(131641.58597041832+0j)
35,(131641.58597041832+0j)
36,(131639.69051962483+0j)
37,(131639.69051962483+0j)
38,(131639.69051962483+0j)
39,(131639.69051962483+0j)
40,(131639.69051962483+0j)
41,(131630.12876228895+0j)
42,(131630.12876228895+0j)
43,(131630.12876228895+0j)
44,(131630.12876228895+0j)
45,(131630.12876228895+0j)
46,(131636.7382801267+0j)
47,(131636.7382801267+0j)
48,(131636.7382801267+0j)
49,(131636.7382801267+0j)
50,(131636.7382801267+0j)
51,(131636.23711113055+0j)
52,(131636.23711113055+0j)
53,(131636.23711113055+0j)
54,(131636.23711113055+0j)
55,(131636.23711113055+0j)
56,(131633.4193785386+0j)
57,(131633.4193785386+0j)
58,(131633.4193785386+0j)
59,(131633.4193785386+0j)
60,(131633.4193785386+0j)
61,(131634.13034334203+0j)
62,(131634.13034334203+0j)
63,(131634.13034334203+0j)
64,(131634.13034334203+0j)
65,(131634.13034334203+0j)
66,(131617.63893817645+0j)
67,(131617.63893817645+0j)
68,(131617.63893817645+0j)
69,(131617.63893817645+0j)
70,(131617.63893817645+0j)
71,(131625.12936461+0j)
72,(131625.12936461+0j)
73,(131625.12936461+0j)
74,(131625.12936461+0j)
75,(131625.12936461+0j)
76,(131629.26039707637+0j)
77,(131629.26039707637+0j)
78,(131629.26039707637+0j)
79,(131629.26039707637+0j)
80,(131629.26039707637+0j)
81,(131634.0145721726+0j)
82,(131634.0145721726+0j)
83,(131634.0145721726+0j)
84,(131634.0145721726+0j)
85,(131634.0145721726+0j)
86,(131627.60355980316+0j)
87,(131627.60355980316+0j)
88,(131627.60355980316+0j)
89,(131627.60355980316+0j)
90,(131627.60355980316+0j)
91,(131629.04403906254+0j)
92,(131629.04403906254+0j)
93,(131629.04403906254+0j)
94,(131629.04403906254+0j)
95,(131629.04403906254+0j)
96,(131617.71789842346+0j)
97,(131617.71789842346+0j)
98,(131617.71789842346+0j)
99,(131617.71789842346+0j)
100,(131617.71789842346+0j)
101,(131614.76190098148+0j)
102,(131614.76190098148+0j)
103,(131614.76190098148+0j)
104,(131614.76190098148+0j)
105,(131614.76190098148+0j)
106,(131624.39023298508+0j)
107,(131624.39023298508+0j)
108,(131624.39023298508+0j)
109,(131624.39023298508+0j)
110,(131624.39023298508+0j)
111,(131628.07489481784+0j)
112,(131628.07489481784+0j)
113,(131628.07489481784+0j)
114,(131628.07489481784+0j)
115,(131628.07489481784+0j)
116,(131624.49665340793+0j)
117,(131624.49665340793+0j)
118,(131624.49665340793+0j)
119,(131624.49665340793+0j)
120,(131624.49665340793+0j)
121,(131617.19269122416+0j)
122,(131617.19269122416+0j)
