# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Fri Jan 28 22:54:19 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+223916+0j,+3.62751e+06+1.77634e+06j
2013-08-28 00:00:02 PST,+230217+0j,+3.81834e+06+1.86113e+06j
2013-08-28 00:00:03 PST,+227146+0j,+3.74076e+06+1.82402e+06j
2013-08-28 00:00:04 PST,+226548+0j,+3.7344e+06+1.81929e+06j
2013-08-28 00:00:05 PST,+225857+0j,+3.72528e+06+1.81332e+06j
2013-08-28 00:00:06 PST,+223806+0j,+3.64444e+06+1.78055e+06j
2013-08-28 00:00:07 PST,+224014+0j,+3.62772e+06+1.7769e+06j
2013-08-28 00:00:08 PST,+225045+0j,+3.63395e+06+1.78372e+06j
2013-08-28 00:00:09 PST,+225446+0j,+3.62231e+06+1.78245e+06j
2013-08-28 00:00:10 PST,+225196+0j,+3.59246e+06+1.77286e+06j
2013-08-28 00:00:11 PST,+224943+0j,+3.597e+06+1.77288e+06j
2013-08-28 00:00:12 PST,+225117+0j,+3.61438e+06+1.77858e+06j
2013-08-28 00:00:13 PST,+225043+0j,+3.62479e+06+1.78116e+06j
2013-08-28 00:00:14 PST,+224946+0j,+3.63457e+06+1.78342e+06j
2013-08-28 00:00:15 PST,+225006+0j,+3.6488e+06+1.78768e+06j
2013-08-28 00:00:16 PST,+225103+0j,+3.64545e+06+1.78721e+06j
2013-08-28 00:00:17 PST,+225237+0j,+3.64232e+06+1.78699e+06j
2013-08-28 00:00:18 PST,+225184+0j,+3.63387e+06+1.78439e+06j
2013-08-28 00:00:19 PST,+224979+0j,+3.62117e+06+1.77984e+06j
2013-08-28 00:00:20 PST,+224908+0j,+3.61232e+06+1.777e+06j
2013-08-28 00:00:21 PST,+224962+0j,+3.60344e+06+1.77476e+06j
2013-08-28 00:00:22 PST,+225061+0j,+3.5956e+06+1.77305e+06j
2013-08-28 00:00:23 PST,+225091+0j,+3.58578e+06+1.77047e+06j
2013-08-28 00:00:24 PST,+225038+0j,+3.57365e+06+1.76682e+06j
2013-08-28 00:00:25 PST,+225021+0j,+3.56258e+06+1.76365e+06j
2013-08-28 00:00:26 PST,+225030+0j,+3.56887e+06+1.76545e+06j
2013-08-28 00:00:27 PST,+225048+0j,+3.57663e+06+1.76771e+06j
2013-08-28 00:00:28 PST,+225047+0j,+3.58388e+06+1.76973e+06j
2013-08-28 00:00:29 PST,+225054+0j,+3.59135e+06+1.77185e+06j
