# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Fri Jan 28 23:27:13 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+90322.1+0j,+886443+502374j
2013-08-28 00:00:02 PST,+106436+0j,+1.111e+06+610049j
2013-08-28 00:00:03 PST,+109223+0j,+1.1551e+06+630648j
2013-08-28 00:00:04 PST,+106517+0j,+1.117e+06+611997j
2013-08-28 00:00:05 PST,+106808+0j,+1.12374e+06+614760j
2013-08-28 00:00:06 PST,+107334+0j,+1.12649e+06+617039j
2013-08-28 00:00:07 PST,+107127+0j,+1.11819e+06+614082j
2013-08-28 00:00:08 PST,+106859+0j,+1.10908e+06+610698j
2013-08-28 00:00:09 PST,+107014+0j,+1.10618e+06+610295j
2013-08-28 00:00:10 PST,+107165+0j,+1.10318e+06+609867j
2013-08-28 00:00:11 PST,+107077+0j,+1.10451e+06+610017j
2013-08-28 00:00:12 PST,+107068+0j,+1.10722e+06+610760j
2013-08-28 00:00:13 PST,+107102+0j,+1.11058e+06+611816j
2013-08-28 00:00:14 PST,+107043+0j,+1.11255e+06+612218j
2013-08-28 00:00:15 PST,+106984+0j,+1.11453e+06+612622j
2013-08-28 00:00:16 PST,+106982+0j,+1.11312e+06+612205j
2013-08-28 00:00:17 PST,+106956+0j,+1.11116e+06+611570j
2013-08-28 00:00:18 PST,+106974+0j,+1.10986e+06+611246j
2013-08-28 00:00:19 PST,+106984+0j,+1.10844e+06+610867j
2013-08-28 00:00:20 PST,+107004+0j,+1.10717e+06+610562j
2013-08-28 00:00:21 PST,+107007+0j,+1.10485e+06+609904j
2013-08-28 00:00:22 PST,+107006+0j,+1.1024e+06+609201j
2013-08-28 00:00:23 PST,+107039+0j,+1.10048e+06+608746j
2013-08-28 00:00:24 PST,+107064+0j,+1.09842e+06+608228j
2013-08-28 00:00:25 PST,+107078+0j,+1.09621e+06+607636j
2013-08-28 00:00:26 PST,+107094+0j,+1.0978e+06+608139j
2013-08-28 00:00:27 PST,+107115+0j,+1.09977e+06+608760j
2013-08-28 00:00:28 PST,+107102+0j,+1.10123e+06+609144j
2013-08-28 00:00:29 PST,+107085+0j,+1.10265e+06+609501j
