# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Wed Feb  9 20:10:02 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+217964+0j,+3.46195e+06+1.70103e+06j
2013-08-28 00:00:02 PST,+224738+0j,+3.6613e+06+1.78991e+06j
2013-08-28 00:00:03 PST,+224416+0j,+3.66277e+06+1.78869e+06j
2013-08-28 00:00:04 PST,+224093+0j,+3.66416e+06+1.7875e+06j
2013-08-28 00:00:05 PST,+223751+0j,+3.66496e+06+1.78605e+06j
2013-08-28 00:00:06 PST,+221243+0j,+3.57222e+06+1.74779e+06j
2013-08-28 00:00:07 PST,+220275+0j,+3.52327e+06+1.72938e+06j
2013-08-28 00:00:08 PST,+221661+0j,+3.53966e+06+1.74072e+06j
2013-08-28 00:00:09 PST,+222519+0j,+3.54111e+06+1.74532e+06j
2013-08-28 00:00:10 PST,+222333+0j,+3.51365e+06+1.73674e+06j
2013-08-28 00:00:11 PST,+221773+0j,+3.5096e+06+1.73285e+06j
2013-08-28 00:00:12 PST,+221808+0j,+3.52273e+06+1.7367e+06j
2013-08-28 00:00:13 PST,+221935+0j,+3.53842e+06+1.74169e+06j
2013-08-28 00:00:14 PST,+221832+0j,+3.54768e+06+1.74381e+06j
2013-08-28 00:00:15 PST,+221748+0j,+3.5575e+06+1.74615e+06j
2013-08-28 00:00:16 PST,+221658+0j,+3.5491e+06+1.74335e+06j
2013-08-28 00:00:17 PST,+221805+0j,+3.54652e+06+1.74331e+06j
2013-08-28 00:00:18 PST,+222133+0j,+3.54885e+06+1.74559e+06j
2013-08-28 00:00:19 PST,+222100+0j,+3.54119e+06+1.74329e+06j
2013-08-28 00:00:20 PST,+221874+0j,+3.52819e+06+1.73857e+06j
2013-08-28 00:00:21 PST,+221810+0j,+3.51635e+06+1.73492e+06j
2013-08-28 00:00:22 PST,+221921+0j,+3.50911e+06+1.73341e+06j
2013-08-28 00:00:23 PST,+222075+0j,+3.50301e+06+1.73246e+06j
2013-08-28 00:00:24 PST,+222112+0j,+3.49362e+06+1.73003e+06j
2013-08-28 00:00:25 PST,+222078+0j,+3.48232e+06+1.72672e+06j
2013-08-28 00:00:26 PST,+222076+0j,+3.48816e+06+1.72834e+06j
2013-08-28 00:00:27 PST,+222088+0j,+3.49557e+06+1.73047e+06j
2013-08-28 00:00:28 PST,+222077+0j,+3.50234e+06+1.73231e+06j
2013-08-28 00:00:29 PST,+222068+0j,+3.50919e+06+1.73418e+06j
