# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Wed Feb  9 20:10:02 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+177955+0j,+2.45409e+06+1.23949e+06j
2013-08-28 00:00:02 PST,+226407+0j,+3.70879e+06+1.81141e+06j
2013-08-28 00:00:03 PST,+212594+0j,+3.33504e+06+1.63989e+06j
2013-08-28 00:00:04 PST,+194715+0j,+2.87794e+06+1.43007e+06j
2013-08-28 00:00:05 PST,+199521+0j,+3.0081e+06+1.48803e+06j
2013-08-28 00:00:06 PST,+204026+0j,+3.1067e+06+1.53609e+06j
2013-08-28 00:00:07 PST,+203227+0j,+3.06731e+06+1.52136e+06j
2013-08-28 00:00:08 PST,+201909+0j,+3.01508e+06+1.50072e+06j
2013-08-28 00:00:09 PST,+202067+0j,+3.00071e+06+1.49738e+06j
2013-08-28 00:00:10 PST,+201819+0j,+2.97605e+06+1.48938e+06j
2013-08-28 00:00:11 PST,+201598+0j,+2.97975e+06+1.48941e+06j
2013-08-28 00:00:12 PST,+201896+0j,+2.99733e+06+1.49569e+06j
2013-08-28 00:00:13 PST,+202402+0j,+3.02026e+06+1.50442e+06j
2013-08-28 00:00:14 PST,+202514+0j,+3.03328e+06+1.50857e+06j
2013-08-28 00:00:15 PST,+202018+0j,+3.03067e+06+1.50559e+06j
2013-08-28 00:00:16 PST,+201579+0j,+3.01458e+06+1.49909e+06j
2013-08-28 00:00:17 PST,+201474+0j,+3.00633e+06+1.49631e+06j
2013-08-28 00:00:18 PST,+201759+0j,+3.00805e+06+1.49807e+06j
2013-08-28 00:00:19 PST,+202021+0j,+3.00913e+06+1.49956e+06j
2013-08-28 00:00:20 PST,+202148+0j,+3.00682e+06+1.49947e+06j
2013-08-28 00:00:21 PST,+202097+0j,+2.99709e+06+1.49654e+06j
2013-08-28 00:00:22 PST,+202123+0j,+2.9892e+06+1.49443e+06j
2013-08-28 00:00:23 PST,+202249+0j,+2.9838e+06+1.49349e+06j
2013-08-28 00:00:24 PST,+202347+0j,+2.97765e+06+1.49221e+06j
2013-08-28 00:00:25 PST,+202410+0j,+2.97064e+06+1.49054e+06j
2013-08-28 00:00:26 PST,+202503+0j,+2.97783e+06+1.49298e+06j
2013-08-28 00:00:27 PST,+202638+0j,+2.98713e+06+1.4962e+06j
2013-08-28 00:00:28 PST,+202597+0j,+2.99194e+06+1.49738e+06j
2013-08-28 00:00:29 PST,+202508+0j,+2.99559e+06+1.498e+06j
