# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Mon Jul 19 15:49:32 2021
# user...... lei
# host...... (null)
# target.... substation 2
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:01:00 PST,+138000+0i,+1.63002e+06+856436j
2013-08-28 00:02:00 PST,+138000+0i,+1.62802e+06+855079j
2013-08-28 00:03:00 PST,+138000+0i,+1.632e+06+856212j
2013-08-28 00:04:00 PST,+138000+0i,+1.63475e+06+856653j
2013-08-28 00:05:00 PST,+138000+0i,+1.63873e+06+857785j
2013-08-28 00:06:00 PST,+138000+0i,+1.63161e+06+856098j
2013-08-28 00:07:00 PST,+138000+0i,+1.62306e+06+853671j
2013-08-28 00:08:00 PST,+138000+0i,+1.6133e+06+850573j
2013-08-28 00:09:00 PST,+138000+0i,+1.60476e+06+848151j
