# file...... output/IEEE_123_feeder_0_swing_node_3.csv
# date...... Thu Aug  5 16:55:57 2021
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+99259.4+0j,+1.00388e+06+559492j
2013-08-28 00:00:02 PST,+98101+0j,+987920+551790j
2013-08-28 00:00:03 PST,+99226.4+0j,+1.00342e+06+559272j
2013-08-28 00:00:04 PST,+99219.6+0j,+1.00333e+06+559224j
2013-08-28 00:00:05 PST,+99239.4+0j,+1.00361e+06+559356j
2013-08-28 00:00:06 PST,+99220.7+0j,+1.00335e+06+559232j
2013-08-28 00:00:07 PST,+99234.7+0j,+1.00354e+06+559324j
2013-08-28 00:00:08 PST,+99231.4+0j,+1.00349e+06+559303j
2013-08-28 00:00:09 PST,+99234.9+0j,+1.00354e+06+559326j
2013-08-28 00:00:10 PST,+99238.7+0j,+1.0036e+06+559352j
2013-08-28 00:00:11 PST,+99233.1+0j,+1.00352e+06+559315j
2013-08-28 00:00:12 PST,+99244.9+0j,+1.00368e+06+559392j
2013-08-28 00:00:13 PST,+99237.2+0j,+1.00357e+06+559342j
2013-08-28 00:00:14 PST,+99244.3+0j,+1.00367e+06+559389j
2013-08-28 00:00:15 PST,+99244.1+0j,+1.00367e+06+559387j
2013-08-28 00:00:16 PST,+99242.5+0j,+1.00365e+06+559377j
2013-08-28 00:00:17 PST,+99249.6+0j,+1.00375e+06+559424j
2013-08-28 00:00:18 PST,+99244.7+0j,+1.00368e+06+559392j
2013-08-28 00:00:19 PST,+99249.3+0j,+1.00374e+06+559422j
2013-08-28 00:00:20 PST,+99249.4+0j,+1.00374e+06+559423j
2013-08-28 00:00:21 PST,+99249.6+0j,+1.00375e+06+559424j
2013-08-28 00:00:22 PST,+99251.8+0j,+1.00378e+06+559439j
2013-08-28 00:00:23 PST,+99251.4+0j,+1.00377e+06+559437j
2013-08-28 00:00:24 PST,+99252.6+0j,+1.00379e+06+559444j
2013-08-28 00:00:25 PST,+99253.4+0j,+1.0038e+06+559450j
2013-08-28 00:00:26 PST,+99254.4+0j,+1.00381e+06+559456j
2013-08-28 00:00:27 PST,+99253.9+0j,+1.00381e+06+559453j
2013-08-28 00:00:28 PST,+99256+0j,+1.00384e+06+559467j
2013-08-28 00:00:29 PST,+99255.5+0j,+1.00383e+06+559463j
