# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Wed Jan 26 23:33:16 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+231163+0j,+3.82333e+06+1.86724e+06j
2013-08-28 00:00:02 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:03 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:04 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:05 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:06 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:07 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:08 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:09 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:10 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:11 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:12 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:13 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:14 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:15 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:16 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:17 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:18 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:19 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:20 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:21 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:22 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:23 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:24 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:25 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:26 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:27 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:28 PST,+231163+0j,+3.82333e+06+1.86725e+06j
2013-08-28 00:00:29 PST,+231163+0j,+3.82333e+06+1.86725e+06j
