# file...... output/IEEE_123_feeder_0_swing_node_5.csv
# date...... Thu Feb 10 20:08:31 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+225170+0j,+3.65225e+06+1.78945e+06j
2013-08-28 00:00:02 PST,+231030+0j,+3.81949e+06+1.86554e+06j
2013-08-28 00:00:03 PST,+230927+0j,+3.81651e+06+1.86417e+06j
2013-08-28 00:00:04 PST,+230867+0j,+3.81479e+06+1.86338e+06j
2013-08-28 00:00:05 PST,+230452+0j,+3.80283e+06+1.85793e+06j
2013-08-28 00:00:06 PST,+230772+0j,+3.81205e+06+1.86212e+06j
2013-08-28 00:00:07 PST,+230914+0j,+3.81619e+06+1.86397e+06j
2013-08-28 00:00:08 PST,+230262+0j,+3.79737e+06+1.85545e+06j
2013-08-28 00:00:09 PST,+230145+0j,+3.79394e+06+1.85392e+06j
2013-08-28 00:00:10 PST,+230553+0j,+3.80572e+06+1.85925e+06j
2013-08-28 00:00:11 PST,+230566+0j,+3.80612e+06+1.85942e+06j
2013-08-28 00:00:12 PST,+230233+0j,+3.79651e+06+1.85506e+06j
2013-08-28 00:00:13 PST,+230381+0j,+3.80081e+06+1.85698e+06j
2013-08-28 00:00:14 PST,+230654+0j,+3.80863e+06+1.86057e+06j
2013-08-28 00:00:15 PST,+230547+0j,+3.80553e+06+1.85918e+06j
2013-08-28 00:00:16 PST,+230419+0j,+3.80184e+06+1.85751e+06j
2013-08-28 00:00:17 PST,+230504+0j,+3.80434e+06+1.8586e+06j
2013-08-28 00:00:18 PST,+230592+0j,+3.80687e+06+1.85975e+06j
2013-08-28 00:00:19 PST,+230498+0j,+3.80411e+06+1.85853e+06j
2013-08-28 00:00:20 PST,+230457+0j,+3.80297e+06+1.858e+06j
2013-08-28 00:00:21 PST,+230516+0j,+3.80469e+06+1.85877e+06j
2013-08-28 00:00:22 PST,+230519+0j,+3.80476e+06+1.85881e+06j
2013-08-28 00:00:23 PST,+230488+0j,+3.80385e+06+1.8584e+06j
2013-08-28 00:00:24 PST,+230483+0j,+3.80372e+06+1.85834e+06j
2013-08-28 00:00:25 PST,+230499+0j,+3.80419e+06+1.85855e+06j
2013-08-28 00:00:26 PST,+230490+0j,+3.80392e+06+1.85843e+06j
2013-08-28 00:00:27 PST,+230490+0j,+3.80392e+06+1.85843e+06j
2013-08-28 00:00:28 PST,+230496+0j,+3.80409e+06+1.8585e+06j
2013-08-28 00:00:29 PST,+230493+0j,+3.804e+06+1.85846e+06j
