# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Thu Feb 10 20:08:31 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+395842+0j,+1.01239e+07+4.68611e+06j
2013-08-28 00:00:02 PST,+410750+0j,+1.08466e+07+5.00617e+06j
2013-08-28 00:00:03 PST,+406529+0j,+1.06394e+07+4.91442e+06j
2013-08-28 00:00:04 PST,+406018+0j,+1.06145e+07+4.9034e+06j
2013-08-28 00:00:05 PST,+405904+0j,+1.06089e+07+4.90097e+06j
2013-08-28 00:00:06 PST,+406061+0j,+1.06166e+07+4.90432e+06j
2013-08-28 00:00:07 PST,+405961+0j,+1.06117e+07+4.9022e+06j
2013-08-28 00:00:08 PST,+405668+0j,+1.05974e+07+4.89584e+06j
2013-08-28 00:00:09 PST,+405563+0j,+1.05922e+07+4.8936e+06j
2013-08-28 00:00:10 PST,+405640+0j,+1.05961e+07+4.89524e+06j
2013-08-28 00:00:11 PST,+405628+0j,+1.05955e+07+4.89499e+06j
2013-08-28 00:00:12 PST,+405538+0j,+1.0591e+07+4.89307e+06j
2013-08-28 00:00:13 PST,+405624+0j,+1.05953e+07+4.89489e+06j
2013-08-28 00:00:14 PST,+405735+0j,+1.06007e+07+4.89729e+06j
2013-08-28 00:00:15 PST,+405736+0j,+1.06007e+07+4.89733e+06j
2013-08-28 00:00:16 PST,+405752+0j,+1.06015e+07+4.89766e+06j
2013-08-28 00:00:17 PST,+405789+0j,+1.06033e+07+4.89846e+06j
2013-08-28 00:00:18 PST,+405801+0j,+1.06039e+07+4.89873e+06j
2013-08-28 00:00:19 PST,+405781+0j,+1.06029e+07+4.8983e+06j
2013-08-28 00:00:20 PST,+405756+0j,+1.06017e+07+4.89775e+06j
2013-08-28 00:00:21 PST,+405749+0j,+1.06014e+07+4.89761e+06j
2013-08-28 00:00:22 PST,+405736+0j,+1.06007e+07+4.89732e+06j
2013-08-28 00:00:23 PST,+405718+0j,+1.05999e+07+4.89695e+06j
2013-08-28 00:00:24 PST,+405714+0j,+1.05996e+07+4.89684e+06j
2013-08-28 00:00:25 PST,+405717+0j,+1.05998e+07+4.89692e+06j
2013-08-28 00:00:26 PST,+405723+0j,+1.06001e+07+4.89704e+06j
2013-08-28 00:00:27 PST,+405726+0j,+1.06002e+07+4.8971e+06j
2013-08-28 00:00:28 PST,+405732+0j,+1.06005e+07+4.89723e+06j
2013-08-28 00:00:29 PST,+405739+0j,+1.06009e+07+4.89739e+06j
