# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Thu Jan 27 23:36:14 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+224289+0j,+3.63802e+06+1.78112e+06j
2013-08-28 00:00:02 PST,+230608+0j,+3.82967e+06+1.86627e+06j
2013-08-28 00:00:03 PST,+227888+0j,+3.76208e+06+1.83368e+06j
2013-08-28 00:00:04 PST,+228205+0j,+3.78217e+06+1.84091e+06j
2013-08-28 00:00:05 PST,+228331+0j,+3.79681e+06+1.84563e+06j
2013-08-28 00:00:06 PST,+228791+0j,+3.78706e+06+1.8452e+06j
2013-08-28 00:00:07 PST,+228934+0j,+3.76762e+06+1.84043e+06j
2013-08-28 00:00:08 PST,+228191+0j,+3.72281e+06+1.82421e+06j
2013-08-28 00:00:09 PST,+227960+0j,+3.69276e+06+1.81467e+06j
2013-08-28 00:00:10 PST,+228138+0j,+3.67437e+06+1.8104e+06j
2013-08-28 00:00:11 PST,+228246+0j,+3.68928e+06+1.8151e+06j
2013-08-28 00:00:12 PST,+227885+0j,+3.69195e+06+1.81404e+06j
2013-08-28 00:00:13 PST,+227908+0j,+3.70545e+06+1.81794e+06j
2013-08-28 00:00:14 PST,+228321+0j,+3.73001e+06+1.82687e+06j
2013-08-28 00:00:15 PST,+228344+0j,+3.74355e+06+1.83078e+06j
2013-08-28 00:00:16 PST,+228241+0j,+3.73431e+06+1.82769e+06j
2013-08-28 00:00:17 PST,+228217+0j,+3.72655e+06+1.82538e+06j
2013-08-28 00:00:18 PST,+228343+0j,+3.72306e+06+1.82501e+06j
2013-08-28 00:00:19 PST,+228304+0j,+3.71479e+06+1.82253e+06j
2013-08-28 00:00:20 PST,+228184+0j,+3.70427e+06+1.819e+06j
2013-08-28 00:00:21 PST,+228196+0j,+3.69393e+06+1.81615e+06j
2013-08-28 00:00:22 PST,+228229+0j,+3.68393e+06+1.81351e+06j
2013-08-28 00:00:23 PST,+228248+0j,+3.67354e+06+1.81071e+06j
2013-08-28 00:00:24 PST,+228236+0j,+3.66226e+06+1.8075e+06j
2013-08-28 00:00:25 PST,+228267+0j,+3.65221e+06+1.80485e+06j
2013-08-28 00:00:26 PST,+228294+0j,+3.65917e+06+1.80693e+06j
2013-08-28 00:00:27 PST,+228297+0j,+3.66674e+06+1.80907e+06j
2013-08-28 00:00:28 PST,+228288+0j,+3.67396e+06+1.81104e+06j
2013-08-28 00:00:29 PST,+228266+0j,+3.68081e+06+1.81284e+06j
