# file...... output/IEEE_123_feeder_0_swing_node_4.csv
# date...... Thu Jan 27 23:36:14 2022
# user...... lei
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:00:01 PST,+233030+0j,+3.88888e+06+1.89502e+06j
2013-08-28 00:00:02 PST,+239923+0j,+4.10495e+06+1.9909e+06j
2013-08-28 00:00:03 PST,+235854+0j,+3.99519e+06+1.93915e+06j
2013-08-28 00:00:04 PST,+235535+0j,+3.99738e+06+1.93817e+06j
2013-08-28 00:00:05 PST,+235673+0j,+4.01319e+06+1.94329e+06j
2013-08-28 00:00:06 PST,+235743+0j,+3.99073e+06+1.93734e+06j
2013-08-28 00:00:07 PST,+235774+0j,+3.9666e+06+1.93074e+06j
2013-08-28 00:00:08 PST,+235691+0j,+3.93909e+06+1.92264e+06j
2013-08-28 00:00:09 PST,+235714+0j,+3.91474e+06+1.91593e+06j
2013-08-28 00:00:10 PST,+235764+0j,+3.89115e+06+1.9096e+06j
2013-08-28 00:00:11 PST,+235814+0j,+3.90523e+06+1.9138e+06j
2013-08-28 00:00:12 PST,+235779+0j,+3.91795e+06+1.91719e+06j
2013-08-28 00:00:13 PST,+235755+0j,+3.93099e+06+1.92071e+06j
2013-08-28 00:00:14 PST,+235789+0j,+3.94572e+06+1.925e+06j
2013-08-28 00:00:15 PST,+235770+0j,+3.95889e+06+1.92859e+06j
2013-08-28 00:00:16 PST,+235756+0j,+3.95179e+06+1.92652e+06j
2013-08-28 00:00:17 PST,+235747+0j,+3.94396e+06+1.92429e+06j
2013-08-28 00:00:18 PST,+235781+0j,+3.93738e+06+1.92261e+06j
2013-08-28 00:00:19 PST,+235794+0j,+3.93017e+06+1.92066e+06j
2013-08-28 00:00:20 PST,+235792+0j,+3.92253e+06+1.91852e+06j
2013-08-28 00:00:21 PST,+235804+0j,+3.91144e+06+1.91548e+06j
2013-08-28 00:00:22 PST,+235809+0j,+3.89992e+06+1.91229e+06j
2013-08-28 00:00:23 PST,+235819+0j,+3.88854e+06+1.90916e+06j
2013-08-28 00:00:24 PST,+235821+0j,+3.87695e+06+1.90594e+06j
2013-08-28 00:00:25 PST,+235831+0j,+3.86557e+06+1.90282e+06j
2013-08-28 00:00:26 PST,+235844+0j,+3.87257e+06+1.90484e+06j
2013-08-28 00:00:27 PST,+235854+0j,+3.88083e+06+1.9072e+06j
2013-08-28 00:00:28 PST,+235848+0j,+3.88863e+06+1.90934e+06j
2013-08-28 00:00:29 PST,+235840+0j,+3.89639e+06+1.91147e+06j
