time,  bus-65-magnitude, bus-66-magnitude, bus-67-magnitude, bus-65-angle, bus-66-angle, bus-67-angle,  
0.0000,    1.050740597746,    1.031518547452,    1.030768637660,   -0.112575331351,   -0.091596316006,   -0.085676302224,  
0.0050,    1.049343792512,    1.029475113323,    1.029079351483,   -0.124450055813,   -0.118325259486,   -0.113966623369,  
0.0100,    1.049344691797,    1.029478637247,    1.029083155200,   -0.124521868153,   -0.118413000669,   -0.114057431439,  
0.0150,    1.049346419219,    1.029484293527,    1.029089269295,   -0.124637938506,   -0.118550885208,   -0.114200253762,  
0.0200,    1.049348692233,    1.029491889624,    1.029097494409,   -0.124800037268,   -0.118743259321,   -0.114399505102,  
0.0250,    1.049351485138,    1.029501371210,    1.029107771356,   -0.125007991144,   -0.118989793010,   -0.114654829184,  
0.0300,    1.049354765974,    1.029512670681,    1.029120026463,   -0.125261598200,   -0.119290087526,   -0.114965794572,  
0.0350,    1.049358496929,    1.029525707856,    1.029134172311,   -0.125560628373,   -0.119643676990,   -0.115331896413,  
0.0400,    1.049362634846,    1.029540390812,    1.029150108645,   -0.125904823706,   -0.120050029510,   -0.115752557684,  
0.0450,    1.049367131815,    1.029556616841,    1.029167723393,   -0.126293898615,   -0.120508548450,   -0.116227130622,  
0.0500,    1.049371935819,    1.029574273511,    1.029186893812,   -0.126727540188,   -0.121018573856,   -0.116754898316,  
0.0550,    1.049376991434,    1.029593239812,    1.029207487716,   -0.127205408513,   -0.121579384038,   -0.117335076484,  
0.0600,    1.049382240581,    1.029613387380,    1.029229364794,   -0.127727137036,   -0.122190197293,   -0.117966815407,  
0.0650,    1.049387623311,    1.029634581786,    1.029252377995,   -0.128292332953,   -0.122850173787,   -0.118649202031,  
0.0700,    1.049393078616,    1.029656683866,    1.029276374965,   -0.128900577641,   -0.123558417570,   -0.119381262232,  
0.0750,    1.049398545254,    1.029679551088,    1.029301199509,   -0.129551427116,   -0.124313978739,   -0.120161963235,  
0.0800,    1.049403962593,    1.029703038927,    1.029326693082,   -0.130244412531,   -0.125115855730,   -0.120990216181,  
0.0850,    1.049409271431,    1.029727002246,    1.029352696272,   -0.130979040711,   -0.125962997742,   -0.121864878845,  
