# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:01:00 PST,+131095+0j,+1.52042e+06+804858j
2013-08-28 00:02:00 PST,+131095+0j,+1.54234e+06+814152j
2013-08-28 00:03:00 PST,+131095+0j,+1.56219e+06+822780j
2013-08-28 00:04:00 PST,+131095+0j,+1.58446e+06+832208j
2013-08-28 00:05:00 PST,+131095+0j,+1.60457e+06+840943j
2013-08-28 00:06:00 PST,+131109+0j,+1.61512e+06+847111j
2013-08-28 00:07:00 PST,+131109+0j,+1.61945e+06+850705j
2013-08-28 00:08:00 PST,+131109+0j,+1.60688e+06+846699j
2013-08-28 00:09:00 PST,+131109+0j,+1.59648e+06+843405j
2013-08-28 00:10:00 PST,+131109+0j,+1.58424e+06+839504j
2013-08-28 00:11:00 PST,+131100+0j,+1.58677e+06+839845j
2013-08-28 00:12:00 PST,+131100+0j,+1.59182e+06+841286j
2013-08-28 00:13:00 PST,+131100+0j,+1.59807e+06+843399j
2013-08-28 00:14:00 PST,+131100+0j,+1.60061e+06+843900j
2013-08-28 00:15:00 PST,+131100+0j,+1.60363e+06+844413j
2013-08-28 00:16:00 PST,+131086+0j,+1.60491e+06+845165j
2013-08-28 00:17:00 PST,+131086+0j,+1.60396e+06+845236j
2013-08-28 00:18:00 PST,+131086+0j,+1.59762e+06+843002j
2013-08-28 00:19:00 PST,+131086+0j,+1.59345e+06+841480j
2013-08-28 00:20:00 PST,+131086+0j,+1.59465e+06+842253j
2013-08-28 00:21:00 PST,+131084+0j,+1.59233e+06+841928j
2013-08-28 00:22:00 PST,+131084+0j,+1.58465e+06+839319j
2013-08-28 00:23:00 PST,+131084+0j,+1.57913e+06+837415j
2013-08-28 00:24:00 PST,+131084+0j,+1.57725e+06+837103j
2013-08-28 00:25:00 PST,+131084+0j,+1.57488e+06+836775j
2013-08-28 00:26:00 PST,+131075+0j,+1.57492e+06+836537j
2013-08-28 00:27:00 PST,+131075+0j,+1.57604e+06+836510j
2013-08-28 00:28:00 PST,+131075+0j,+1.58079e+06+838075j
2013-08-28 00:29:00 PST,+131075+0j,+1.58507e+06+839631j
2013-08-28 00:30:00 PST,+131075+0j,+1.58736e+06+840271j
2013-08-28 00:31:00 PST,+131071+0j,+1.58483e+06+839195j
2013-08-28 00:32:00 PST,+131071+0j,+1.58405e+06+838983j
2013-08-28 00:33:00 PST,+131071+0j,+1.58444e+06+839436j
2013-08-28 00:34:00 PST,+131071+0j,+1.58284e+06+838974j
2013-08-28 00:35:00 PST,+131071+0j,+1.58006e+06+837846j
2013-08-28 00:36:00 PST,+131071+0j,+1.58049e+06+837975j
2013-08-28 00:37:00 PST,+131071+0j,+1.58223e+06+838809j
2013-08-28 00:38:00 PST,+131071+0j,+1.58198e+06+838730j
2013-08-28 00:39:00 PST,+131071+0j,+1.58055e+06+837983j
2013-08-28 00:40:00 PST,+131071+0j,+1.58111e+06+838151j
2013-08-28 00:41:00 PST,+131066+0j,+1.57609e+06+837055j
2013-08-28 00:42:00 PST,+131066+0j,+1.56671e+06+834182j
2013-08-28 00:43:00 PST,+131066+0j,+1.55782e+06+831328j
2013-08-28 00:44:00 PST,+131066+0j,+1.5525e+06+830045j
2013-08-28 00:45:00 PST,+131066+0j,+1.54668e+06+828746j
2013-08-28 00:46:00 PST,+131074+0j,+1.54441e+06+827915j
2013-08-28 00:47:00 PST,+131074+0j,+1.54346e+06+827302j
2013-08-28 00:48:00 PST,+131074+0j,+1.54601e+06+828242j
2013-08-28 00:49:00 PST,+131074+0j,+1.54811e+06+829177j
2013-08-28 00:50:00 PST,+131074+0j,+1.54669e+06+828558j
2013-08-28 00:51:00 PST,+131073+0j,+1.54575e+06+827944j
2013-08-28 00:52:00 PST,+131073+0j,+1.54834e+06+828896j
2013-08-28 00:53:00 PST,+131073+0j,+1.55048e+06+829844j
2013-08-28 00:54:00 PST,+131073+0j,+1.5491e+06+829233j
2013-08-28 00:55:00 PST,+131073+0j,+1.54817e+06+828628j
2013-08-28 00:56:00 PST,+131067+0j,+1.55055e+06+829500j
2013-08-28 00:57:00 PST,+131067+0j,+1.55254e+06+830405j
2013-08-28 00:58:00 PST,+131067+0j,+1.551e+06+829750j
2013-08-28 00:59:00 PST,+131067+0j,+1.54992e+06+829102j
2013-08-28 01:00:00 PST,+131067+0j,+1.55237e+06+830014j
2013-08-28 01:01:00 PST,+131067+0j,+1.55326e+06+830607j
2013-08-28 01:02:00 PST,+131067+0j,+1.55041e+06+829583j
2013-08-28 01:03:00 PST,+131067+0j,+1.54803e+06+828566j
2013-08-28 01:04:00 PST,+131067+0j,+1.54917e+06+829107j
2013-08-28 01:05:00 PST,+131067+0j,+1.54984e+06+829642j
2013-08-28 01:06:00 PST,+131058+0j,+1.54883e+06+829106j
2013-08-28 01:07:00 PST,+131058+0j,+1.54888e+06+828776j
2013-08-28 01:08:00 PST,+131058+0j,+1.55246e+06+830007j
2013-08-28 01:09:00 PST,+131058+0j,+1.55559e+06+831232j
2013-08-28 01:10:00 PST,+131058+0j,+1.55517e+06+830894j
2013-08-28 01:11:00 PST,+131059+0j,+1.55359e+06+830107j
2013-08-28 01:12:00 PST,+131059+0j,+1.55514e+06+830765j
2013-08-28 01:13:00 PST,+131059+0j,+1.55623e+06+831417j
2013-08-28 01:14:00 PST,+131059+0j,+1.55378e+06+830504j
2013-08-28 01:15:00 PST,+131059+0j,+1.55179e+06+829600j
2013-08-28 01:16:00 PST,+131054+0j,+1.55014e+06+829338j
2013-08-28 01:17:00 PST,+131054+0j,+1.54728e+06+828874j
2013-08-28 01:18:00 PST,+131054+0j,+1.54091e+06+826857j
2013-08-28 01:19:00 PST,+131054+0j,+1.53501e+06+824850j
2013-08-28 01:20:00 PST,+131054+0j,+1.53258e+06+824386j
2013-08-28 01:21:00 PST,+131065+0j,+1.53562e+06+825623j
2013-08-28 01:22:00 PST,+131065+0j,+1.53664e+06+825692j
2013-08-28 01:23:00 PST,+131065+0j,+1.53811e+06+825762j
2013-08-28 01:24:00 PST,+131065+0j,+1.54307e+06+827380j
2013-08-28 01:25:00 PST,+131065+0j,+1.54758e+06+828996j
2013-08-28 01:26:00 PST,+131057+0j,+1.54096e+06+826881j
2013-08-28 01:27:00 PST,+131057+0j,+1.53262e+06+824188j
2013-08-28 01:28:00 PST,+131057+0j,+1.52775e+06+823036j
2013-08-28 01:29:00 PST,+131057+0j,+1.5224e+06+821875j
2013-08-28 01:30:00 PST,+131057+0j,+1.51364e+06+819191j
2013-08-28 01:31:00 PST,+131060+0j,+1.51095e+06+818102j
2013-08-28 01:32:00 PST,+131060+0j,+1.51155e+06+818272j
2013-08-28 01:33:00 PST,+131060+0j,+1.51363e+06+819202j
2013-08-28 01:34:00 PST,+131060+0j,+1.51424e+06+819371j
2013-08-28 01:35:00 PST,+131060+0j,+1.51336e+06+818779j
2013-08-28 01:36:00 PST,+131064+0j,+1.51583e+06+819490j
2013-08-28 01:37:00 PST,+131064+0j,+1.52036e+06+821108j
2013-08-28 01:38:00 PST,+131064+0j,+1.52341e+06+821966j
2013-08-28 01:39:00 PST,+131064+0j,+1.52496e+06+822056j
2013-08-28 01:40:00 PST,+131064+0j,+1.528e+06+822913j
2013-08-28 01:41:00 PST,+131053+0j,+1.52894e+06+823481j
2013-08-28 01:42:00 PST,+131053+0j,+1.52727e+06+823010j
2013-08-28 01:43:00 PST,+131053+0j,+1.5241e+06+821775j
2013-08-28 01:44:00 PST,+131053+0j,+1.52244e+06+821306j
2013-08-28 01:45:00 PST,+131053+0j,+1.52226e+06+821601j
2013-08-28 01:46:00 PST,+131054+0j,+1.51983e+06+820921j
2013-08-28 01:47:00 PST,+131054+0j,+1.51557e+06+819379j
2013-08-28 01:48:00 PST,+131054+0j,+1.5128e+06+818599j
2013-08-28 01:49:00 PST,+131054+0j,+1.5115e+06+818581j
2013-08-28 01:50:00 PST,+131054+0j,+1.50872e+06+817799j
2013-08-28 01:51:00 PST,+131064+0j,+1.50802e+06+817293j
2013-08-28 01:52:00 PST,+131064+0j,+1.51009e+06+817876j
2013-08-28 01:53:00 PST,+131064+0j,+1.51364e+06+819218j
2013-08-28 01:54:00 PST,+131064+0j,+1.51571e+06+819802j
2013-08-28 01:55:00 PST,+131064+0j,+1.51631e+06+819622j
2013-08-28 01:56:00 PST,+131059+0j,+1.51579e+06+819460j
2013-08-28 01:57:00 PST,+131059+0j,+1.51566e+06+819769j
2013-08-28 01:58:00 PST,+131059+0j,+1.51406e+06+819316j
2013-08-28 01:59:00 PST,+131059+0j,+1.51097e+06+818104j
2013-08-28 02:00:00 PST,+131059+0j,+1.50936e+06+817653j
2013-08-28 02:01:00 PST,+131055+0j,+1.5125e+06+818865j
2013-08-28 02:02:00 PST,+131055+0j,+1.51591e+06+819826j
2013-08-28 02:03:00 PST,+131055+0j,+1.51784e+06+820022j
2013-08-28 02:04:00 PST,+131055+0j,+1.52125e+06+820982j
2013-08-28 02:05:00 PST,+131055+0j,+1.52616e+06+822706j
2013-08-28 02:06:00 PST,+131050+0j,+1.5231e+06+821826j
2013-08-28 02:07:00 PST,+131050+0j,+1.51526e+06+819275j
2013-08-28 02:08:00 PST,+131050+0j,+1.5089e+06+817486j
2013-08-28 02:09:00 PST,+131050+0j,+1.504e+06+816459j
2013-08-28 02:10:00 PST,+131050+0j,+1.49763e+06+814668j
2013-08-28 02:11:00 PST,+131054+0j,+1.49684e+06+814118j
2013-08-28 02:12:00 PST,+131054+0j,+1.50138e+06+815393j
2013-08-28 02:13:00 PST,+131054+0j,+1.50738e+06+817423j
2013-08-28 02:14:00 PST,+131054+0j,+1.51192e+06+818701j
2013-08-28 02:15:00 PST,+131054+0j,+1.51499e+06+819214j
2013-08-28 02:16:00 PST,+131048+0j,+1.51492e+06+819176j
2013-08-28 02:17:00 PST,+131048+0j,+1.51372e+06+819185j
2013-08-28 02:18:00 PST,+131048+0j,+1.51104e+06+818429j
2013-08-28 02:19:00 PST,+131048+0j,+1.50689e+06+816920j
2013-08-28 02:20:00 PST,+131048+0j,+1.50422e+06+816167j
2013-08-28 02:21:00 PST,+131049+0j,+1.5059e+06+816992j
2013-08-28 02:22:00 PST,+131049+0j,+1.50795e+06+817568j
2013-08-28 02:23:00 PST,+131049+0j,+1.50853e+06+817384j
2013-08-28 02:24:00 PST,+131049+0j,+1.51058e+06+817960j
2013-08-28 02:25:00 PST,+131049+0j,+1.5141e+06+819295j
2013-08-28 02:26:00 PST,+131053+0j,+1.51271e+06+818917j
2013-08-28 02:27:00 PST,+131053+0j,+1.50739e+06+817078j
2013-08-28 02:28:00 PST,+131053+0j,+1.50354e+06+815997j
2013-08-28 02:29:00 PST,+131053+0j,+1.50115e+06+815673j
2013-08-28 02:30:00 PST,+131053+0j,+1.4973e+06+814591j
2013-08-28 02:31:00 PST,+131061+0j,+1.49697e+06+814178j
2013-08-28 02:32:00 PST,+131061+0j,+1.50144e+06+815436j
2013-08-28 02:33:00 PST,+131061+0j,+1.50739e+06+817450j
2013-08-28 02:34:00 PST,+131061+0j,+1.51187e+06+818710j
2013-08-28 02:35:00 PST,+131061+0j,+1.51487e+06+819206j
2013-08-28 02:36:00 PST,+131057+0j,+1.5153e+06+819313j
2013-08-28 02:37:00 PST,+131057+0j,+1.51424e+06+819362j
2013-08-28 02:38:00 PST,+131057+0j,+1.5117e+06+818647j
2013-08-28 02:39:00 PST,+131057+0j,+1.5077e+06+817176j
2013-08-28 02:40:00 PST,+131057+0j,+1.50516e+06+816463j
2013-08-28 02:41:00 PST,+131051+0j,+1.50534e+06+816840j
2013-08-28 02:42:00 PST,+131051+0j,+1.50524e+06+816811j
2013-08-28 02:43:00 PST,+131051+0j,+1.50367e+06+816024j
2013-08-28 02:44:00 PST,+131051+0j,+1.50356e+06+815995j
2013-08-28 02:45:00 PST,+131051+0j,+1.50492e+06+816721j
2013-08-28 02:46:00 PST,+131055+0j,+1.50301e+06+816199j
2013-08-28 02:47:00 PST,+131055+0j,+1.49797e+06+814441j
2013-08-28 02:48:00 PST,+131055+0j,+1.49439e+06+813435j
2013-08-28 02:49:00 PST,+131055+0j,+1.49226e+06+813184j
2013-08-28 02:50:00 PST,+131055+0j,+1.48868e+06+812178j
2013-08-28 02:51:00 PST,+131062+0j,+1.48566e+06+811010j
2013-08-28 02:52:00 PST,+131062+0j,+1.48566e+06+811013j
2013-08-28 02:53:00 PST,+131062+0j,+1.48711e+06+811763j
2013-08-28 02:54:00 PST,+131062+0j,+1.48712e+06+811766j
2013-08-28 02:55:00 PST,+131062+0j,+1.48569e+06+811019j
2013-08-28 02:56:00 PST,+131066+0j,+1.48817e+06+811733j
2013-08-28 02:57:00 PST,+131066+0j,+1.49432e+06+813802j
2013-08-28 02:58:00 PST,+131066+0j,+1.49903e+06+815124j
2013-08-28 02:59:00 PST,+131066+0j,+1.50227e+06+815687j
2013-08-28 03:00:00 PST,+131066+0j,+1.50697e+06+817009j
2013-08-28 03:01:00 PST,+131061+0j,+1.50883e+06+817855j
2013-08-28 03:02:00 PST,+131061+0j,+1.50507e+06+816797j
2013-08-28 03:03:00 PST,+131061+0j,+1.49985e+06+814987j
2013-08-28 03:04:00 PST,+131061+0j,+1.49609e+06+813931j
2013-08-28 03:05:00 PST,+131061+0j,+1.49378e+06+813630j
2013-08-28 03:06:00 PST,+131063+0j,+1.49358e+06+813581j
2013-08-28 03:07:00 PST,+131063+0j,+1.49564e+06+813815j
2013-08-28 03:08:00 PST,+131063+0j,+1.49916e+06+814801j
2013-08-28 03:09:00 PST,+131063+0j,+1.50413e+06+816542j
2013-08-28 03:10:00 PST,+131063+0j,+1.50764e+06+817530j
2013-08-28 03:11:00 PST,+131055+0j,+1.50736e+06+817074j
2013-08-28 03:12:00 PST,+131055+0j,+1.5062e+06+816748j
2013-08-28 03:13:00 PST,+131055+0j,+1.5065e+06+817181j
2013-08-28 03:14:00 PST,+131055+0j,+1.50534e+06+816854j
2013-08-28 03:15:00 PST,+131055+0j,+1.50272e+06+815773j
2013-08-28 03:16:00 PST,+131060+0j,+1.50272e+06+815791j
2013-08-28 03:17:00 PST,+131060+0j,+1.50537e+06+816880j
2013-08-28 03:18:00 PST,+131060+0j,+1.50655e+06+817213j
2013-08-28 03:19:00 PST,+131060+0j,+1.50627e+06+816788j
2013-08-28 03:20:00 PST,+131060+0j,+1.50745e+06+817121j
2013-08-28 03:21:00 PST,+131058+0j,+1.51007e+06+818191j
2013-08-28 03:22:00 PST,+131058+0j,+1.51126e+06+818526j
2013-08-28 03:23:00 PST,+131058+0j,+1.51097e+06+818099j
2013-08-28 03:24:00 PST,+131058+0j,+1.51216e+06+818433j
2013-08-28 03:25:00 PST,+131058+0j,+1.51482e+06+819527j
2013-08-28 03:26:00 PST,+131053+0j,+1.51342e+06+819115j
2013-08-28 03:27:00 PST,+131053+0j,+1.50727e+06+817044j
2013-08-28 03:28:00 PST,+131053+0j,+1.50261e+06+815732j
2013-08-28 03:29:00 PST,+131053+0j,+1.4994e+06+815178j
2013-08-28 03:30:00 PST,+131053+0j,+1.49472e+06+813864j
2013-08-28 03:31:00 PST,+131059+0j,+1.49162e+06+812670j
2013-08-28 03:32:00 PST,+131059+0j,+1.49398e+06+813334j
2013-08-28 03:33:00 PST,+131059+0j,+1.49779e+06+814748j
2013-08-28 03:34:00 PST,+131059+0j,+1.50016e+06+815413j
2013-08-28 03:35:00 PST,+131059+0j,+1.50106e+06+815320j
2013-08-28 03:36:00 PST,+131054+0j,+1.50101e+06+815289j
2013-08-28 03:37:00 PST,+131054+0j,+1.49897e+06+815063j
2013-08-28 03:38:00 PST,+131054+0j,+1.49548e+06+814082j
2013-08-28 03:39:00 PST,+131054+0j,+1.49054e+06+812352j
2013-08-28 03:40:00 PST,+131054+0j,+1.48705e+06+811372j
2013-08-28 03:41:00 PST,+131060+0j,+1.48735e+06+811826j
2013-08-28 03:42:00 PST,+131060+0j,+1.48971e+06+812488j
2013-08-28 03:43:00 PST,+131060+0j,+1.49063e+06+812397j
2013-08-28 03:44:00 PST,+131060+0j,+1.49298e+06+813059j
2013-08-28 03:45:00 PST,+131060+0j,+1.49679e+06+814471j
2013-08-28 03:46:00 PST,+131064+0j,+1.49965e+06+815292j
2013-08-28 03:47:00 PST,+131064+0j,+1.50172e+06+815525j
2013-08-28 03:48:00 PST,+131064+0j,+1.50524e+06+816515j
2013-08-28 03:49:00 PST,+131064+0j,+1.51023e+06+818262j
2013-08-28 03:50:00 PST,+131064+0j,+1.51376e+06+819254j
2013-08-28 03:51:00 PST,+131060+0j,+1.51407e+06+818978j
2013-08-28 03:52:00 PST,+131060+0j,+1.51302e+06+818681j
2013-08-28 03:53:00 PST,+131060+0j,+1.51343e+06+819144j
2013-08-28 03:54:00 PST,+131060+0j,+1.51238e+06+818846j
2013-08-28 03:55:00 PST,+131060+0j,+1.50984e+06+817789j
2013-08-28 03:56:00 PST,+131059+0j,+1.50981e+06+817781j
2013-08-28 03:57:00 PST,+131059+0j,+1.51323e+06+819087j
2013-08-28 03:58:00 PST,+131059+0j,+1.51517e+06+819633j
2013-08-28 03:59:00 PST,+131059+0j,+1.51563e+06+819416j
2013-08-28 04:00:00 PST,+131059+0j,+1.51757e+06+819961j
2013-08-28 04:01:00 PST,+131059+0j,+1.52036e+06+821088j
2013-08-28 04:02:00 PST,+131059+0j,+1.52042e+06+821104j
2013-08-28 04:03:00 PST,+131059+0j,+1.51899e+06+820356j
2013-08-28 04:04:00 PST,+131059+0j,+1.51904e+06+820372j
